ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH116 09-Jan-2019 P107266245 664c6f3 09-Nov-2018 2020 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P107266245 3ff01463 07-Nov-2018 2019 FALL C C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe8b5e7 08-Nov-2018 2020 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe3f4fd 01-Nov-2018 2020 SPRING D C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe6bce7 30-Oct-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107266245 3fdd4c2f 23-Oct-2018 2019 SPRING  CE
2019 SPRING MATH116 09-Jan-2019 P107266245 3fda35d5 03-Jan-2019 2020 SPRING C A
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe74991 08-Jan-2019 2020 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fdf87bf 09-Nov-2018 2020 SPRING C D
2019 SPRING MATH116 09-Jan-2019 P107266245 3feb968b 06-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe6f8b5 08-Nov-2018 2019 SPRING D D
2019 SPRING MATH116 09-Jan-2019 P107266245 3fee0afb 08-Nov-2018 2020 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P107266245 3ff00c2f 06-Nov-2018 2019 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107266245 3fefe6a5 08-Jan-2019 2020 SPRING A C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe006ef 08-Nov-2018 2019 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P107266245 3fef5db1 08-Nov-2018 2019 FALL B C
2019 SPRING MATH116 09-Jan-2019 P107266245 3ba60ddb 31-Oct-2018 2020 SPRING A C
2019 SPRING MATH116 09-Jan-2019 P107266245 3ff06e1d 08-Nov-2018 2020 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P107266245 3ff23c93 16-Jan-2019 2019 SPRING F D
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe49edf 11-Jan-2019 2019 FALL B D
2019 SPRING MATH116 09-Jan-2019 P107266245 3ba491f9 15-Jan-2019 2019 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fdfffc9 08-Nov-2018 2020 SPRING C C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe4b415 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P107266245 3fd6a799 09-Jan-2019 2020 SPRING D C
2019 SPRING MATH116 09-Jan-2019 P107266245 3fef5efb 08-Nov-2018 2020 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107266245 3fe473bf 20-Dec-2018 2019 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P107266245 3fdf6703 07-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff0bdeb 08-Nov-2018 2020 SPRING B- B
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff10b89 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P100062478 3fe8c023 08-Jan-2019 2020 SPRING A C-
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff2289d 08-Nov-2018 2019 FALL C- D
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff0baad 19-Nov-2018 2019 SUMMER D D
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff22a5f 09-Nov-2018 2019 SPRING B C
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff0dd71 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P100062478 3fee326f 03-Jan-2019 2019 SPRING  W
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff150cb 08-Nov-2018 2020 SPRING B D
2019 SPRING MATH116 09-Jan-2019 P100062478 3feb98a7 09-Nov-2018 2019 FALL B B
2019 SPRING MATH116 09-Jan-2019 P100062478 3feff54b 06-Nov-2018 2019 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff2298d 09-Nov-2018 2019 FALL C- F
2019 SPRING MATH116 09-Jan-2019 P100062478 3fe3790b 07-Nov-2018 2020 SPRING B+ B
2019 SPRING MATH116 09-Jan-2019 P100062478 3ba8f84d 11-Jan-2019 2019 SPRING C+ F
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff0134b 09-Nov-2018 2020 SPRING C- C-
2019 SPRING MATH116 09-Jan-2019 P100062478 3fe8949f 31-Oct-2018 2020 SPRING A- B
2019 SPRING MATH116 09-Jan-2019 P100062478 3fdfcd6f 09-Nov-2018 2020 SPRING A A-
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff23211 09-Nov-2018 2020 SPRING A A+
2019 SPRING MATH116 09-Jan-2019 P100062478 3ff0a0c7 17-Jan-2019 2019 SPRING B F
