Semester Taken,ID,Mathrecommendation,Adjusted Score,Raw Score
SP2019,   3ff26dcb,   MATH120,,29
SP2019,   3ff2704b,   MATH120,,29
SP2019,   3ff271d1,   MATH120,,34
SP2019,   3ff2734d,   MATH120,,28
SP2019,   3ff274dd,   MATH120,,28
SP2019,   3ff274fb,   MATH120,,26
SP2019,   3ff2750f,   MATH115,,21
SP2019,   3ff27519,   MATH120,,34
SP2019,   3ff27555,   MATH120,,32
SP2019,   3ff275eb,   MATH112,,18
SP2019,   3ff27627,   MATH120,,26
SP2019,   3ff27627,   MATH120,,26
SP2019,   3ff277df,   MATH112,,11
SP2019,   3ff2784d,   MATH120,,36
SP2019,   3ff27861,   MATH120,,33
SP2019,   3ff2786b,   MATH120,,24
SP2019,   3ff27acd,   MATH120,,25
SP2019,   3ff27aeb,   MATH112,,11
SP2019,   3ff27b27,   MATH115,,17
SP2019,   3ff27b63,   MATH112,,14
SP2019,   3ff27b6d,   MATH120,,32
SP2019,   3ff27c49,   MATH112,,22
SP2019,   3ff27c7b,   MATH112,,21
SP2019,   3ff27d2f,   MATH120,,26
SP2019,   3ff27ed3,   MATH120,,28
SP2019,   3ff27efb,   MATH120,,26
SP2019,   3ff27f23,   MATH112,,19
SP2019,   3ff27f73,   MATH115,,19
SP2019,   3ff28045,   MATH112,,10
SP2019,   3ff28045,   MATH112,,10
SP2019,   3ff2849b,   MATH115,,19
SP2019,   3ff284ff,   MATH112,,22
SP2019,   3ff285b3,   MATH115,,21
SP2019,   3ff285b3,   MATH115,,21
SP2019,   3ff28707,   MATH120,,34
SP2019,   3ff28707,   MATH120,,34
SP2019,   3ff2872f,   MATH115,,18
SP2019,   3ff28739,   MATH120,,28
SP2019,   3ff28743,   MATH120,,27
SP2019,   3ff2879d,   MATH112,,16
SP2019,   3ff287b1,   MATH120,,36
SP2019,   3ff2885b,   MATH120,,35
SP2019,   3ff28ad1,   MATH120,,31
SP2019,   3ff28b7b,   MATH120,,33
SP2019,   3ff28b8f,   MATH120,,26
SP2019,   3ff28c61,   MATH120,,28
SP2019,   3ff28d3d,   MATH120,,28
SP2019,   3ff28f63,   MATH120,,31
SP2019,   3ff2902b,   MATH120,,24
SP2019,   3ff291e3,   MATH120,,28
SP2019,   3ff292f1,   MATH115,,21
SP2019,   3ff292fb,   MATH112,,17
SP2019,   3ff2946d,   MATH120,,28
SP2019,   3ff29481,   MATH120,,28
SP2019,   3ff2953f,   MATH115,,23
SP2019,   3ff29599,   MATH112,,19
SP2019,   3ff29797,   MATH120,,30
SP2019,   3ff29aa3,   MATH112,,20
SP2019,   3ff29b25,   MATH120,,32
SP2019,   3ff29bbb,   MATH115,,13
SP2019,   3ff29ca1,   MATH120,,29
SP2019,   3ff29dc3,   MATH115,,25
SP2019,   3ff2a06b,   MATH112,,10
SP2019,   3ff2a06b,   MATH112,,10
SP2019,   3ff2a101,   MATH120,,25
SP2019,   3ff2a10b,   MATH112,,16
SP2019,   3ff2a593,   MATH115,,22
SP2019,   3ff2a827,   MATH120,,32
SP2019,   3ff2a877,   MATH112,,20
SP2019,   3ff2a8ef,   MATH112,,19
SP2019,   3ff2a90d,   MATH115,,24
SP2019,   3ff2a9b7,   MATH115,,19
SP2019,   3ff2a9cb,   MATH120,,36
SP2019,   3ff2a9fd,   MATH120,,25
SP2019,   3ff2aacf,   MATH120,,28
SP2019,   3ff2ab5b,   MATH120,,25
SP2019,   3ff2ac69,   MATH115,,15
SP2019,   3ff2ad4f,   MATH115,,12
SP2019,   3ff2b2c7,   MATH112,,16
SP2019,   3ff2b3f3,   MATH112,,15
SP2019,   3ff2b4bb,   MATH115,,21
SP2019,   3ff2b62d,   MATH112,,22
SP2019,   3ff2b8a3,   MATH115,,19
SP2019,   3ff2b9d9,   MATH115,,20
SP2019,   3ff2ba83,   MATH120,,31
SP2019,   3ff2baa1,   MATH120,,30
SP2019,   3ff2bc59,   MATH120,,35
SP2019,   3ff2bd2b,   MATH115,,22
SP2019,   3ff2be2f,   MATH120,,26
SP2019,   3ff2c00f,   MATH120,,25
SP2019,   3ff2c11d,   MATH115,,15
SP2019,   3ff2c3b1,   MATH115,,25
SP2019,   3ff2c3bb,   MATH112,,19
SP2019,   3ff2c5c3,   MATH112,,19
SP2019,   3ff2c767,   MATH120,,35
SP2019,   3ff2c839,   MATH115,,20
SP2019,   3ff2c95b,   MATH120,,29
SP2019,   3ff2c9ab,   MATH112,,16
SP2019,   3ff2c9c9,   MATH115,,9
SP2019,   3ff2ca7d,   MATH120,,34
SP2019,   3ff2cc99,   MATH120,,31
SP2019,   3ff2ce65,   MATH120,,23
SP2019,   3ff2cee7,   MATH115,,18
SP2019,   3ff2cf0f,   MATH112,,17
SP2019,   3ff2cf7d,   MATH120,,24
SP2019,   3ff2d1ad,   MATH120,,28
SP2019,   3ff2d1ad,   MATH120,,30
SP2019,   3ff2d2cf,   MATH115,,9
SP2019,   3ff2d30b,   MATH120,,28
SP2019,   3ff2d329,   MATH120,,28
SP2019,   3ff2d333,   MATH120,,23
SP2019,   3ff2d3b5,   MATH112,,20
SP2019,   3ff2d3c9,   MATH120,,32
SP2019,   3ff2d405,   MATH120,,36
SP2019,   3ff2d40f,   MATH120,,28
SP2019,   3ff2d42d,   MATH120,,34
SP2019,   3ff2d487,   MATH120,,26
SP2019,   3ff2d4c3,   MATH115,,15
SP2019,   3ff2d56d,   MATH120,,31
SP2019,   3ff2d577,   MATH120,,31
SP2019,   3ff2d5ef,   MATH120,,28
SP2019,   3ff2d699,   MATH120,,26
SP2019,   3ff2d6c1,   MATH120,,36
SP2019,   3ff2d739,   MATH112,,19
SP2019,   3ff2d76b,   MATH112,,21
SP2019,   3ff2d9ff,   MATH120,,29
SP2019,   3ff2da3b,   MATH115,,20
SP2019,   3ff2db2b,   MATH112,,17
SP2019,   3ff2dc7f,   MATH120,,30
SP2019,   3ff2dd51,   MATH115,,20
SP2019,   3ff2dd6f,   MATH115,,16
SP2019,   3ff2dde7,   MATH115,,17
SP2019,   3ff2de73,   MATH120,,29
SP2019,   3ff2df45,   MATH120,,29
SP2019,   3ff2e1e3,   MATH115,,22
SP2019,   3ff2e1f7,   MATH120,,34
SP2019,   3ff2e21f,   MATH120,,29
SP2019,   3ff2e39b,   MATH120,,27
SP2019,   3ff2e41d,   MATH112,,18
SP2019,   3ff2e4e5,   MATH115,,20
SP2019,   3ff2e729,   MATH115,,25
SP2019,   3ff2e7bf,   MATH115,,4
SP2019,   3ff2eb2f,   MATH120,,30
SP2019,   3ff2ebc5,   MATH112,,15
SP2019,   3ff2ec1f,   MATH120,,26
SP2019,   3ff2ec3d,   MATH112,,12
SP2019,   3ff2ec5b,   MATH112,,16
SP2019,   3ff2ed0f,   MATH120,,26
SP2019,   3ff2ed2d,   MATH120,,24
SP2019,   3ff2edaf,   MATH115,,17
SP2019,   3ff2edf5,   MATH115,,12
SP2019,   3ff2ee1d,   MATH120,,28
SP2019,   3ff2f31d,   MATH120,,33
SP2019,   3ff2f395,   MATH112,,17
SP2019,   3ff2f3bd,   MATH115,,14
SP2019,   3ff2f4c1,   MATH120,,30
