2019,          SPRING,        MATH209,        P100021964,    3fd8d6e5,        30-Oct-2018,        B+,        B+,        
2019,          SPRING,        MATH209,        P093001886,    3fd8f14d,        25-Oct-2018,        C,        C,        
2019,          SPRING,        MATH120,        P107180114,    3fd906b5,        31-Oct-2018,        B,        A,        
2019,          FALL,        MATH120,        P100062478,    3fd90df9,        21-Mar-2019,        D,        D,        
2019,          FALL,        MATH209,        P093001886,    3fd90df9,        21-Mar-2019,        C,        B,        
2019,          SPRING,        MATH209,        P107265288,    3fd92e6f,        09-Nov-2018,        C+,        C+,        
2019,          SPRING,        MATH116,        P089009198,    3fd93cb1,        08-Nov-2018,        A,        C,        
2019,          FALL,        MATH209,        P093001886,    3fd9462f,        21-Mar-2019,        C,        C,        
2019,          SPRING,        MATH209,        P107265288,    3fd94783,        25-Oct-2018,        B-,        C,        
2019,          FALL,        MATH116,        P107265286,    3fd95c91,        21-Mar-2019,        B,        B+,        
2019,          FALL,        MATH209,        P008800231,    3fd965b5,        29-Jul-2019,        F,        F,        
2019,          SPRING,        MATH117,        P107180113,    3fd97f7d,        01-Nov-2018,        C,        C,        
2019,          SPRING,        MATH209,        P089003876,    3fd98ec3,        25-Oct-2018,        A,        B,        
2019,          SPRING,        MATH116,        P089009198,    3fd9a291,        21-Dec-2018,        A,        A,        
2019,          FALL,        MATH209,        P107307329,    3fd9a291,        20-Aug-2019,        B,        B-,        
2019,          SPRING,        MATH116,        P089009198,    3fd9b41b,        25-Oct-2018,        A,        A,        
2019,          SPRING,        MATH115,        P008616066,    3fd9d7bb,        31-Oct-2018,        B-,        D,        
2019,          SPRING,        MATH209,        P089003876,    3fd9f831,        30-Oct-2018,        A,        B,        
2019,          FALL,        MATH120,        P107180114,    3fd9ff2f,        07-Jul-2019,        B,        C,        
2019,          FALL,        MATH209,        P093001886,    3fda071d,        26-Mar-2019,        F,        W,        
2019,          SPRING,        MATH116,        P107266245,    3fda35d5,        03-Jan-2019,        C,        A,        
2019,          SPRING,        MATH209,        P100003700,    3fda35d5,        03-Jan-2019,        C-,        C,        
2019,          FALL,        MATH209,        P107265288,    3fda3607,        28-Jun-2019,        C,        D-,        
2019,          SPRING,        MATH209,        P002014415,    3fda5673,        07-Nov-2018,        A,        A+,        
2019,          SPRING,        MATH116,        P107180114,    3fda7c25,        02-Nov-2018,        B,        B,        
2019,          FALL,        MATH120,        P093001886,    3fdae651,        21-Mar-2019,        A,        B+,        
2019,          SPRING,        MATH209,        P089003876,    3fdb04e7,        09-Jan-2019,        B,        A-,        
2019,          SPRING,        MATH209,        P008616066,    3fdb1c6b,        01-Nov-2018,        B,        B,        
2019,          SPRING,        MATH116,        P107266245,    3fdb29a9,        30-Oct-2018,        C,        B,        
2019,          FALL,        MATH116,        P091007905,    3fdb941b,        04-Apr-2019,        C,        C,        
2019,          FALL,        MATH116,        P089003876,    3fdbb53b,        21-Mar-2019,        B,        A,        
2019,          SPRING,        MATH209,        P002014415,    3fdbd809,        31-Oct-2018,        B,        B-,        
2019,          FALL,        MATH112,        P107180114,    3fdbe1cd,        31-May-2019,        A,        A,        
2019,          FALL,        MATH209,        P107307329,    3fdbec59,        19-Mar-2019,        A,        A-,        
2019,          SPRING,        MATH116,        P107266245,    3fdbfc17,        23-Oct-2018,        A,        A,        
2019,          FALL,        MATH116,        P107307484,    3fdc14a9,        17-Apr-2019,        A,        A,        
2019,          SPRING,        MATH116,        P089009198,    3fdc4735,        08-Nov-2018,        A,        A,        
2019,          SPRING,        MATH209,        P100021964,    3fdc5c1b,        07-Nov-2018,        A-,        C,        
2019,          FALL,        MATH209,        P107307484,    3fdc5d83,        03-Apr-2019,        A,        W,        
2019,          SPRING,        MATH115,        P107266245,    3fdc5d83,        08-Nov-2018,        D,        D,        
2019,          FALL,        MATH115,        P107265286,    3fdc63ff,        24-Jun-2019,        B,        B,        
2019,          FALL,        MATH116,        P107265286,    3fdc66e3,        22-Jul-2019,        C-,        F,        
2019,          FALL,        MATH209,        P093001886,    3fdc7ed5,        27-Mar-2019,        C,        B,        
2019,          FALL,        MATH120,        P107180114,    3fdca207,        28-Jun-2019,        B,        B,        
2019,          SPRING,        MATH116,        P107265286,    3fdcb017,        26-Oct-2018,        D+,        D+,        
2019,          FALL,        MATH116,        P107266245,    3fdcbb1b,        15-Aug-2019,        A,        B,        
2019,          SPRING,        MATH120,        P093001886,    3fdcd6cd,        26-Oct-2018,        A,        A,        
2019,          FALL,        MATH116,        P107307484,    3fdcece9,        14-Jun-2019,        A,        A,        
2019,          FALL,        MATH116,        P107266245,    3fdd253d,        27-Mar-2019,        A,        B,        
2019,          FALL,        MATH120,        P107180114,    3fdd451d,        09-Aug-2019,        A-,        B,        
2019,          SPRING,        MATH116,        P107266245,    3fdd4c2f,        23-Oct-2018,        ,        CE,        
2019,          SPRING,        MATH209,        P008616066,    3fdd4e41,        25-Oct-2018,        B,        B-,        
2019,          FALL,        MATH116,        P107180114,    3fdd5517,        22-Aug-2019,        D,        C,        
2019,          FALL,        MATH209,        P093001886,    3fdd7295,        11-Apr-2019,        F,        F,        
2019,          SPRING,        MATH116,        P089009198,    3fdd72b3,        25-Oct-2018,        B,        A,        
2019,          SPRING,        MATH115,        P107266245,    3fddf00d,        08-Nov-2018,        C,        D,        
2019,          FALL,        MATH116,        P107265286,    3fddf3af,        21-Aug-2019,        A-,        A,        
2019,          FALL,        MATH209,        P107265288,    3fddf3af,        19-Jul-2019,        A-,        A-,        
2019,          SPRING,        MATH209,        P089003876,    3fde43eb,        08-Nov-2018,        A,        A,        
2019,          SPRING,        MATH209,        P100062478,    3fde4a7b,        09-Jan-2019,        F,        CE,        
